Time, Tank Temp,Target Temp,Boiler Status,Message,
2022-04-04 01:39:11.346,17.75,38.0,ON,No Message,
2022-04-04 01:39:21.347,17.75,32.0,ON,No Message,
2022-04-04 01:39:31.348,17.75,32.0,ON,No Message,
2022-04-04 01:39:41.346,17.6875,32.0,ON,No Message,
2022-04-04 01:39:51.344,17.6875,32.0,ON,No Message,
2022-04-04 01:40:01.345,17.625,32.0,ON,No Message,
2022-04-04 01:40:11.346,17.625,32.0,ON,No Message,
2022-04-04 01:40:21.347,17.5625,32.0,ON,No Message,
2022-04-04 01:40:31.348,17.5625,32.0,ON,No Message,
2022-04-04 01:40:41.348,17.5,32.0,ON,No Message,
2022-04-04 01:40:51.349,17.5,32.0,ON,No Message,
2022-04-04 01:41:01.350,17.4375,32.0,ON,No Message,
2022-04-04 01:41:11.350,17.4375,32.0,ON,No Message,
2022-04-04 01:41:21.343,17.4375,32.0,ON,No Message,
2022-04-04 01:41:31.344,17.4375,32.0,ON,No Message,
2022-04-04 01:41:41.345,17.375,32.0,ON,No Message,
2022-04-04 01:41:51.346,17.375,32.0,ON,No Message,
2022-04-04 01:42:01.347,17.375,32.0,ON,No Message,
2022-04-04 01:42:11.348,17.3125,32.0,ON,No Message,
2022-04-04 01:42:21.345,17.3125,32.0,ON,No Message,
2022-04-04 01:42:31.346,17.3125,32.0,ON,No Message,
2022-04-04 01:42:41.347,17.3125,32.0,ON,No Message,
